center,region,band_id,wn_start,wn_end,wn_peak,score_mean_f,score_max_f,score_sum_f,n_features_in_band,n_samples
1500,cerebellum,17,1610.803711,1649.957031,1610.803711,2.3630111545655703,10.933449933563137,92.15743502805724,39,28
1500,cerebellum,24,1890.81543,1929.90918,1916.259766,2.351080578444052,8.117166231724076,96.39430371620612,41,28
1500,cerebellum,20,1730.450195,1769.743164,1767.735352,2.3388752324460413,14.672576880087826,93.55500929784165,40,28
1500,cerebellum,15,1530.576172,1569.277344,1530.576172,2.263657592729164,6.486497930658164,86.01898852370823,38,28
1500,cerebellum,16,1570.319336,1609.769531,1609.769531,2.047511295518381,13.487338647073383,79.85294052521685,39,28
1500,cerebellum,0,930.273438,970.004883,958.348633,1.772477322663217,4.643492824159843,62.03670629321259,35,28
1500,cerebellum,22,1810.742188,1849.448242,1835.585938,1.5987486040607126,6.076984548251138,63.9499441624285,40,28
1500,cerebellum,18,1650.983398,1689.845703,1652.009766,1.5731783172046419,3.7329447742931667,61.35395437098103,39,28
1500,cerebellum,26,1970.641602,1997.616211,1983.183594,1.3984505077899883,3.9178011909770865,40.55506472590966,29,28
1500,cerebellum,25,1930.882813,1969.675781,1966.776367,0.8515621328195208,4.359460718052661,34.91404744560035,41,28
1500,cortex,14,1490.535156,1529.526367,1500.044922,20.94035642041384,34.042703591125026,795.7335439757259,38,54
1500,cortex,13,1451.255859,1489.476563,1485.244141,20.896692755551754,33.570817470870935,773.1776319554149,37,54
1500,cortex,4,1090.962891,1129.568359,1123.908203,14.669034525728193,27.87804492508205,513.4162084004868,35,54
1500,cortex,19,1690.864258,1729.438477,1708.155273,14.352788361850012,22.07987438160057,559.7587461121504,39,54
1500,cortex,23,1850.436523,1889.833984,1867.216797,14.222152460069706,27.410984959484136,583.108250862858,41,54
1500,cortex,15,1530.576172,1569.277344,1535.822266,11.994813213902312,19.638278679281864,455.8029021282878,38,54
1500,cortex,20,1730.450195,1769.743164,1734.493164,11.843060463848175,26.829391543536122,473.722418553927,40,54
1500,cortex,8,1250.40332,1290.084961,1287.888672,11.572658719929317,21.676316344265164,428.1883726373847,37,54
1500,cortex,0,930.273438,970.004883,970.004883,10.972055690407315,22.01798655262281,384.021949164256,35,54
1500,cortex,11,1370.739258,1409.539063,1388.018555,10.968215181100465,27.803438276398047,405.8239617007172,37,54
1500,cortex,22,1810.742188,1849.448242,1821.6875,10.527056683628434,20.15740025886342,421.0822673451373,40,54
1500,cortex,25,1930.882813,1969.675781,1960.004883,10.40887120168616,22.0984402055137,426.7637192691326,41,54
1500,cortex,1,971.169922,1009.459961,975.825195,10.29549368461307,20.871431025874404,350.0467852768444,34,54
1500,cortex,16,1570.319336,1609.769531,1591.119141,10.064075599266316,19.78206581758441,392.4989483713863,39,54
1500,cortex,26,1970.641602,1997.616211,1983.183594,9.96457417540576,22.331481839184445,288.97265108676703,29,54
1500,cortex,7,1210.425781,1249.296875,1211.540039,9.546282502019857,19.124989614594114,343.6661700727148,36,54
1500,cortex,21,1770.74707,1809.746094,1807.75293,9.165854145279827,19.206785358812326,366.63416581119304,40,54
1500,cortex,2,1010.616211,1049.787109,1011.772461,8.92709573565699,27.640727539274163,312.44835074799465,35,54
1500,cortex,5,1130.699219,1170.147461,1139.741211,8.194362146225906,13.655040241192303,294.9970372641326,36,54
1500,cortex,10,1330.564453,1369.657227,1355.573242,8.066510955369136,17.3041190104018,298.46090534865806,37,54
1500,cortex,9,1291.183594,1329.474609,1301.055664,7.933531150945424,18.108180009866164,285.60712143403526,36,54
1500,cortex,12,1410.613281,1450.19043,1448.058594,7.468293144669817,18.54074857475648,283.795139497453,38,54
1500,cortex,6,1171.270508,1209.310547,1209.310547,6.328794848235432,17.676647009924462,221.50781968824015,35,54
1500,cortex,17,1610.803711,1649.957031,1618.038086,6.285063587231018,18.23265426901317,245.11747990200968,39,54
1500,cortex,18,1650.983398,1689.845703,1676.582031,5.646003451757868,11.358815585092161,220.19413461855683,39,54
1500,cortex,24,1890.81543,1929.90918,1901.595703,5.166471919442179,16.52542286707707,211.82534869712933,41,54
1500,cortex,3,1050.935547,1089.823242,1080.697266,4.110769071906863,9.763486425504281,143.8769175167402,35,54
1500,striatum,13,1451.255859,1489.476563,1462.963867,8.353908241097667,15.389806456420763,309.0946049206137,37,36
1500,striatum,12,1410.613281,1450.19043,1446.992188,4.722120334297586,17.562520029426956,179.44057270330828,38,36
1500,striatum,9,1291.183594,1329.474609,1292.28125,3.2338759259226455,14.686314894581491,116.41953333321524,36,36
1500,striatum,8,1250.40332,1290.084961,1290.084961,3.117316143978427,8.797093668450698,115.34069732720181,37,36
1500,striatum,3,1050.935547,1089.823242,1058.963867,2.956042538188108,8.409729739242653,103.46148883658378,35,36
1500,striatum,14,1490.535156,1529.526367,1490.535156,2.850178264274213,9.289414238618068,108.30677404242009,38,36
1500,striatum,11,1370.739258,1409.539063,1380.46582,2.7686217159311823,11.433548989054833,102.43900348945375,37,36
1500,striatum,10,1330.564453,1369.657227,1337.099609,2.726872761415838,7.07611008369721,100.89429217238602,37,36
1500,striatum,4,1090.962891,1129.568359,1129.568359,2.6923091591064594,9.177126271160455,94.23082056872607,35,36
1500,striatum,1,971.169922,1009.459961,999.042969,2.3749864982244886,9.951703986205695,80.74954093963261,34,36
1500,striatum,0,930.273438,970.004883,939.647461,2.120716509110146,9.84600255214395,74.22507781885511,35,36
1500,striatum,23,1850.436523,1889.833984,1856.365234,2.0270771630039173,5.720263807285129,83.11016368316061,41,36
1500,striatum,5,1130.699219,1170.147461,1130.699219,2.004285263281095,12.259340373935435,72.15426947811942,36,36
1500,striatum,21,1770.74707,1809.746094,1801.769531,1.8891692084349727,5.356938320691179,75.56676833739891,40,36
1500,striatum,19,1690.864258,1729.438477,1729.438477,1.8627290101930782,5.090018524219404,72.64643139753005,39,36
1500,striatum,26,1970.641602,1997.616211,1981.255859,1.7751238203017832,7.879876643507498,51.47859078875171,29,36
1500,striatum,7,1210.425781,1249.296875,1249.296875,1.7622600420201775,4.739333409952414,63.44136151272639,36,36
1500,striatum,15,1530.576172,1569.277344,1537.918945,1.5545766472182727,5.953241594489878,59.07391259429436,38,36
1500,striatum,18,1650.983398,1689.845703,1667.380859,1.4710841358324676,3.7516631495744033,57.37228129746623,39,36
1500,striatum,20,1730.450195,1769.743164,1731.460938,1.4567696803003125,5.219861220813518,58.2707872120125,40,36
1500,striatum,2,1010.616211,1049.787109,1029.083984,1.4564336799262423,4.753791142314897,50.97517879741848,35,36
1500,striatum,25,1930.882813,1969.675781,1956.131836,1.2661373485494183,7.0763137749751355,51.91163129052615,41,36
1500,striatum,22,1810.742188,1849.448242,1820.693359,1.2371043015448475,3.3400458379779425,49.4841720617939,40,36
1500,striatum,6,1171.270508,1209.310547,1184.727539,1.221682202490286,3.339563482467534,42.75887708716001,35,36
1500,striatum,17,1610.803711,1649.957031,1635.56543,1.2171219485785048,2.958285543001204,47.467755994561685,39,36
1500,striatum,24,1890.81543,1929.90918,1902.574219,1.1069272146888895,3.9038611096635485,45.38401580224447,41,36
1500,striatum,16,1570.319336,1609.769531,1575.526367,0.8627596787652229,2.6201779629439086,33.64762747184369,39,36
2900,cerebellum,18,3181.285156,3219.99707,3185.858398,10.125162481864084,12.652064867359108,526.5084490569324,52,28
2900,cerebellum,12,2941.326172,2980.663086,2969.460938,9.267955657377804,15.105947930757061,463.39778286889026,50,28
2900,cerebellum,6,2700.847656,2739.902344,2731.442383,8.67865083210524,24.414517139920576,407.8965891089463,47,28
2900,cerebellum,14,3021.227539,3060.628906,3059.05957,8.464202574286459,14.223571908657597,431.6743312886094,51,28
2900,cerebellum,19,3220.75293,3260.597656,3236.585938,7.541292014491136,10.96084350956085,407.2297687825213,54,28
2900,cerebellum,15,3061.413086,3100.450195,3061.413086,6.628240225592893,14.058304034539058,338.0402515052375,51,28
2900,cerebellum,1,2501.051758,2540.145508,2519.751953,6.211357260243057,8.620753260097883,279.5110767109376,45,28
2900,cerebellum,5,2661.4375,2699.995117,2668.317383,6.0491959943249975,13.292905566190969,278.2630157389499,46,28
2900,cerebellum,20,3261.345703,3284.467773,3282.980469,5.5184272847924944,13.478314580836818,176.58967311335982,32,28
2900,cerebellum,17,3141.444336,3180.522461,3162.177734,5.368221766030077,14.737261461912562,279.147531833564,52,28
2900,cerebellum,7,2740.74707,2780.279297,2743.28125,4.843428940943753,17.279823079748127,232.48458916530018,48,28
2900,cerebellum,4,2620.798828,2660.577148,2651.960938,4.716392114958843,12.014593083826634,221.67042940306564,47,28
2900,cerebellum,3,2581.532227,2619.929688,2599.027344,4.711303878836139,8.406896518715653,212.00867454762627,45,28
2900,cerebellum,13,2981.461914,3020.435547,2995.023438,4.103842358547586,7.451934294013886,205.1921179273793,50,28
2900,cerebellum,10,2860.736328,2899.999023,2876.320313,3.576494005943827,10.859925050962044,175.24820629124753,49,28
2900,cerebellum,8,2781.117188,2820.28125,2795.324219,3.3798152544633555,6.922838633671532,162.23113221424106,48,28
2900,cerebellum,2,2541.030273,2580.655273,2548.983398,2.9802565775789027,8.499887740925125,137.09180256862953,46,28
2900,cerebellum,16,3101.227539,3140.674805,3135.282227,2.4676827280233793,6.190600771887835,128.31950185721573,52,28
2900,cerebellum,0,2460.719727,2500.15918,2500.15918,2.3335805649659362,7.608607903464679,105.01112542346713,45,28
2900,cerebellum,9,2821.111328,2859.914063,2854.979492,2.163157383467189,9.784550877255837,103.83155440642507,48,28
2900,cerebellum,11,2900.8125,2940.519531,2938.099609,0.8108148991424754,1.9259171319506323,40.54074495712377,50,28
2900,cortex,8,2781.117188,2820.28125,2816.131836,18.82040847277589,31.757522785842678,903.3796066932426,48,54
2900,cortex,16,3101.227539,3140.674805,3114.416992,18.797906628516227,34.7075797850043,977.4911446828438,52,54
2900,cortex,1,2501.051758,2540.145508,2534.833984,17.17117706902262,21.779463415378586,772.7029681060179,45,54
2900,cortex,20,3261.345703,3284.467773,3265.083984,14.757977453580233,23.911659662058238,472.25527851456746,32,54
2900,cortex,4,2620.798828,2660.577148,2639.868164,14.210589662842482,28.617991869353457,667.8977141535967,47,54
2900,cortex,11,2900.8125,2940.519531,2912.195313,13.895464287965558,21.9345090770991,694.7732143982779,50,54
2900,cortex,2,2541.030273,2580.655273,2558.68457,13.767668932037104,25.985863134057738,633.3127708737068,46,54
2900,cortex,5,2661.4375,2699.995117,2665.739258,13.281641190767653,20.053070101794923,610.955494775312,46,54
2900,cortex,17,3141.444336,3180.522461,3158.345703,9.94389468067834,26.98904544051953,517.0825233952737,52,54
2900,cortex,10,2860.736328,2899.999023,2887.767578,9.861030254971435,37.41081518701931,483.19048249360037,49,54
2900,cortex,9,2821.111328,2859.914063,2844.269531,8.931481872613878,22.962243929114067,428.7111298854661,48,54
2900,cortex,7,2740.74707,2780.279297,2779.442383,8.797448239736216,16.782822540735157,422.27751550733836,48,54
2900,cortex,6,2700.847656,2739.902344,2722.117188,8.03492791680367,18.448281160770478,377.6416120897724,47,54
2900,cortex,0,2460.719727,2500.15918,2494.800781,7.6558762773126094,15.690123575482243,344.5144324790674,45,54
2900,cortex,15,3061.413086,3100.450195,3093.450195,7.579323729145138,16.308039297492265,386.545510186402,51,54
2900,cortex,13,2981.461914,3020.435547,3000.595703,7.472349825458439,16.13512138696288,373.61749127292194,50,54
2900,cortex,14,3021.227539,3060.628906,3060.628906,7.460313612055202,10.396934338384122,380.47599421481533,51,54
2900,cortex,19,3220.75293,3260.597656,3229.053711,6.7155414906150845,9.40856177368308,362.6392404932146,54,54
2900,cortex,18,3181.285156,3219.99707,3217.730469,5.97428652081247,9.527120175069763,310.66289908224843,52,54
2900,cortex,12,2941.326172,2980.663086,2979.864258,5.758928384350476,7.773888577198823,287.9464192175238,50,54
2900,cortex,3,2581.532227,2619.929688,2581.532227,4.31411587631772,8.76054600741908,194.1352144342974,45,54
2900,striatum,12,2941.326172,2980.663086,2979.064453,4.127356796838795,7.055123813461388,206.36783984193974,50,36
2900,striatum,13,2981.461914,3020.435547,3019.643555,3.8832770113132784,8.440114877946952,194.16385056566392,50,36
2900,striatum,10,2860.736328,2899.999023,2889.400391,3.8419259438691236,7.499954206578904,188.25437124958705,49,36
2900,striatum,15,3061.413086,3100.450195,3092.670898,3.345821083899977,7.420658926675591,170.63687527889883,51,36
2900,striatum,11,2900.8125,2940.519531,2900.8125,3.1673644873811635,4.739552354791956,158.36822436905817,50,36
2900,striatum,18,3181.285156,3219.99707,3184.334961,3.0757206311084286,4.878038293641209,159.93747281763828,52,36
2900,striatum,14,3021.227539,3060.628906,3026.765625,3.0402505613429196,5.437153219831907,155.0527786284889,51,36
2900,striatum,6,2700.847656,2739.902344,2722.96582,2.6153326934522827,9.034585907400382,122.92063659225728,47,36
2900,striatum,5,2661.4375,2699.995117,2661.4375,2.455831060296435,5.7566626410042545,112.968228773636,46,36
2900,striatum,19,3220.75293,3260.597656,3238.84375,2.3826007565767098,5.092489829992645,128.66044085514233,54,36
2900,striatum,9,2821.111328,2859.914063,2847.568359,2.3022218224793867,6.08391873026593,110.50664747901055,48,36
2900,striatum,16,3101.227539,3140.674805,3105.887695,2.2324375183076004,6.0213560791755825,116.08675095199523,52,36
2900,striatum,2,2541.030273,2580.655273,2565.727539,2.1267574144640102,5.638535110671647,97.83084106534447,46,36
2900,striatum,1,2501.051758,2540.145508,2517.084961,2.037684426077054,3.918189215521622,91.69579917346744,45,36
2900,striatum,4,2620.798828,2660.577148,2657.132813,2.0271355279524785,5.557924707947713,95.27536981376649,47,36
2900,striatum,7,2740.74707,2780.279297,2771.05957,2.0085180586933924,4.554257531797044,96.40886681728284,48,36
2900,striatum,20,3261.345703,3284.467773,3262.84082,1.754336407828247,3.4820047332948234,56.138765050503906,32,36
2900,striatum,8,2781.117188,2820.28125,2786.972656,1.4701129697670605,3.747098356367474,70.5654225488189,48,36
2900,striatum,17,3141.444336,3180.522461,3144.522461,1.3782065552521412,4.409735216942361,71.66674087311134,52,36
2900,striatum,3,2581.532227,2619.929688,2583.285156,1.1727824996467449,3.315534586082003,52.77521248410352,45,36
2900,striatum,0,2460.719727,2500.15918,2493.013672,1.1477692656540686,2.8183641681010916,51.649616954433085,45,36
