run_dir,n_rows,n_holdout_rows,n_cv_rows,holdout_groups,holdout_mice_seen,cv_overlap_with_holdout_groups,holdout_rows_outside_holdout_groups,holdout_groups_missing_in_holdout_split,ok,center,holdout_control,holdout_endo,holdout_exo
runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/train_runs/20260307_032235_p2lk_1500_ramannet_ss22__h2ta_c-mk3__e-mend2a__x-mexo2a_s42__m02_p2lk_1500_ramannet_ss22__1500,118,34,84,"[""mk3"", ""mend2a"", ""mexo2a""]","[""mend2a"", ""mexo2a"", ""mk3""]",[],[],[],true,1500,mk3,mend2a,mexo2a
runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/train_runs/20260307_032256_p2lk_1500_ramannet_ss33__h2ta_c-mk3__e-mend2a__x-mexo2a_s42__m03_p2lk_1500_ramannet_ss33__1500,118,34,84,"[""mk3"", ""mend2a"", ""mexo2a""]","[""mend2a"", ""mexo2a"", ""mk3""]",[],[],[],true,1500,mk3,mend2a,mexo2a
runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/train_runs/20260307_032315_p2lk_1500_ramannet_ss42__h2ta_c-mk3__e-mend2a__x-mexo2a_s42__m04_p2lk_1500_ramannet_ss42__1500,118,34,84,"[""mk3"", ""mend2a"", ""mexo2a""]","[""mend2a"", ""mexo2a"", ""mk3""]",[],[],[],true,1500,mk3,mend2a,mexo2a
runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/train_runs/20260307_032359_p2lk_2900_trpatch8_ss11__h2ta_c-mk3__e-mend2a__x-mexo2a_s42__m01_p2lk_2900_trpatch8_ss11__2900,118,34,84,"[""mk3"", ""mend2a"", ""mexo2a""]","[""mend2a"", ""mexo2a"", ""mk3""]",[],[],[],true,2900,mk3,mend2a,mexo2a
runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/train_runs/20260307_032450_p2lk_2900_trpatch8_ss22__h2ta_c-mk3__e-mend2a__x-mexo2a_s42__m02_p2lk_2900_trpatch8_ss22__2900,118,34,84,"[""mk3"", ""mend2a"", ""mexo2a""]","[""mend2a"", ""mexo2a"", ""mk3""]",[],[],[],true,2900,mk3,mend2a,mexo2a
runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/train_runs/20260307_032538_p2lk_2900_trpatch8_ss33__h2ta_c-mk3__e-mend2a__x-mexo2a_s42__m03_p2lk_2900_trpatch8_ss33__2900,118,34,84,"[""mk3"", ""mend2a"", ""mexo2a""]","[""mend2a"", ""mexo2a"", ""mk3""]",[],[],[],true,2900,mk3,mend2a,mexo2a
runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/train_runs/20260307_032624_p2lk_2900_trpatch8_ss42__h2ta_c-mk3__e-mend2a__x-mexo2a_s42__m04_p2lk_2900_trpatch8_ss42__2900,118,34,84,"[""mk3"", ""mend2a"", ""mexo2a""]","[""mend2a"", ""mexo2a"", ""mk3""]",[],[],[],true,2900,mk3,mend2a,mexo2a
runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/train_runs/20260307_032646_p2lk_1500_ramannet_ss11__h2ta_c-mk3__e-mend3__x-mexo2b_s42__m01_p2lk_1500_ramannet_ss11__1500,118,28,90,"[""mk3"", ""mend3"", ""mexo2b""]","[""mend3"", ""mexo2b"", ""mk3""]",[],[],[],true,1500,mk3,mend3,mexo2b
runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/train_runs/20260307_032709_p2lk_1500_ramannet_ss22__h2ta_c-mk3__e-mend3__x-mexo2b_s42__m02_p2lk_1500_ramannet_ss22__1500,118,28,90,"[""mk3"", ""mend3"", ""mexo2b""]","[""mend3"", ""mexo2b"", ""mk3""]",[],[],[],true,1500,mk3,mend3,mexo2b
runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/train_runs/20260307_032731_p2lk_1500_ramannet_ss33__h2ta_c-mk3__e-mend3__x-mexo2b_s42__m03_p2lk_1500_ramannet_ss33__1500,118,28,90,"[""mk3"", ""mend3"", ""mexo2b""]","[""mend3"", ""mexo2b"", ""mk3""]",[],[],[],true,1500,mk3,mend3,mexo2b
runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/train_runs/20260307_032753_p2lk_1500_ramannet_ss42__h2ta_c-mk3__e-mend3__x-mexo2b_s42__m04_p2lk_1500_ramannet_ss42__1500,118,28,90,"[""mk3"", ""mend3"", ""mexo2b""]","[""mend3"", ""mexo2b"", ""mk3""]",[],[],[],true,1500,mk3,mend3,mexo2b
runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/train_runs/20260307_032841_p2lk_2900_trpatch8_ss11__h2ta_c-mk3__e-mend3__x-mexo2b_s42__m01_p2lk_2900_trpatch8_ss11__2900,118,28,90,"[""mk3"", ""mend3"", ""mexo2b""]","[""mend3"", ""mexo2b"", ""mk3""]",[],[],[],true,2900,mk3,mend3,mexo2b
runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/train_runs/20260307_032931_p2lk_2900_trpatch8_ss22__h2ta_c-mk3__e-mend3__x-mexo2b_s42__m02_p2lk_2900_trpatch8_ss22__2900,118,28,90,"[""mk3"", ""mend3"", ""mexo2b""]","[""mend3"", ""mexo2b"", ""mk3""]",[],[],[],true,2900,mk3,mend3,mexo2b
runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/train_runs/20260307_033037_p2lk_2900_trpatch8_ss33__h2ta_c-mk3__e-mend3__x-mexo2b_s42__m03_p2lk_2900_trpatch8_ss33__2900,118,28,90,"[""mk3"", ""mend3"", ""mexo2b""]","[""mend3"", ""mexo2b"", ""mk3""]",[],[],[],true,2900,mk3,mend3,mexo2b
runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/train_runs/20260307_033135_p2lk_2900_trpatch8_ss42__h2ta_c-mk3__e-mend3__x-mexo2b_s42__m04_p2lk_2900_trpatch8_ss42__2900,118,28,90,"[""mk3"", ""mend3"", ""mexo2b""]","[""mend3"", ""mexo2b"", ""mk3""]",[],[],[],true,2900,mk3,mend3,mexo2b
