holdout_control,holdout_endo,holdout_exo,triplet_seed,center,cfg_tag,base_cfg_path,generated_cfg_path,run_id,run_dir,n_cv_rows,n_holdout_rows
mk3,mend2a,mexo1,42,1500,m03_p2lk_1500_ramannet_ss33,configs/experiment/p2_locked_holdout/p2lk_1500_ramannet_ss33.yaml,runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/tmp_configs/p2lk_1500_ramannet_ss33__h2ta_c-mk3__e-mend2a__x-mexo1_s42__m03_p2lk_1500_ramannet_ss33__1500.yaml,20260307_031754_p2lk_1500_ramannet_ss33__h2ta_c-mk3__e-mend2a__x-mexo1_s42__m03_p2lk_1500_ramannet_ss33__1500,runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/train_runs/20260307_031754_p2lk_1500_ramannet_ss33__h2ta_c-mk3__e-mend2a__x-mexo1_s42__m03_p2lk_1500_ramannet_ss33__1500,90,28
mk3,mend2a,mexo1,42,1500,m04_p2lk_1500_ramannet_ss42,configs/experiment/p2_locked_holdout/p2lk_1500_ramannet_ss42.yaml,runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/tmp_configs/p2lk_1500_ramannet_ss42__h2ta_c-mk3__e-mend2a__x-mexo1_s42__m04_p2lk_1500_ramannet_ss42__1500.yaml,20260307_031811_p2lk_1500_ramannet_ss42__h2ta_c-mk3__e-mend2a__x-mexo1_s42__m04_p2lk_1500_ramannet_ss42__1500,runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/train_runs/20260307_031811_p2lk_1500_ramannet_ss42__h2ta_c-mk3__e-mend2a__x-mexo1_s42__m04_p2lk_1500_ramannet_ss42__1500,90,28
mk3,mend2a,mexo1,42,2900,m01_p2lk_2900_trpatch8_ss11,configs/experiment/p2_locked_holdout/p2lk_2900_trpatch8_ss11.yaml,runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/tmp_configs/p2lk_2900_trpatch8_ss11__h2ta_c-mk3__e-mend2a__x-mexo1_s42__m01_p2lk_2900_trpatch8_ss11__2900.yaml,20260307_031908_p2lk_2900_trpatch8_ss11__h2ta_c-mk3__e-mend2a__x-mexo1_s42__m01_p2lk_2900_trpatch8_ss11__2900,runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/train_runs/20260307_031908_p2lk_2900_trpatch8_ss11__h2ta_c-mk3__e-mend2a__x-mexo1_s42__m01_p2lk_2900_trpatch8_ss11__2900,90,28
mk3,mend2a,mexo1,42,2900,m02_p2lk_2900_trpatch8_ss22,configs/experiment/p2_locked_holdout/p2lk_2900_trpatch8_ss22.yaml,runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/tmp_configs/p2lk_2900_trpatch8_ss22__h2ta_c-mk3__e-mend2a__x-mexo1_s42__m02_p2lk_2900_trpatch8_ss22__2900.yaml,20260307_032008_p2lk_2900_trpatch8_ss22__h2ta_c-mk3__e-mend2a__x-mexo1_s42__m02_p2lk_2900_trpatch8_ss22__2900,runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/train_runs/20260307_032008_p2lk_2900_trpatch8_ss22__h2ta_c-mk3__e-mend2a__x-mexo1_s42__m02_p2lk_2900_trpatch8_ss22__2900,90,28
mk3,mend2a,mexo1,42,2900,m03_p2lk_2900_trpatch8_ss33,configs/experiment/p2_locked_holdout/p2lk_2900_trpatch8_ss33.yaml,runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/tmp_configs/p2lk_2900_trpatch8_ss33__h2ta_c-mk3__e-mend2a__x-mexo1_s42__m03_p2lk_2900_trpatch8_ss33__2900.yaml,20260307_032056_p2lk_2900_trpatch8_ss33__h2ta_c-mk3__e-mend2a__x-mexo1_s42__m03_p2lk_2900_trpatch8_ss33__2900,runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/train_runs/20260307_032056_p2lk_2900_trpatch8_ss33__h2ta_c-mk3__e-mend2a__x-mexo1_s42__m03_p2lk_2900_trpatch8_ss33__2900,90,28
mk3,mend2a,mexo1,42,2900,m04_p2lk_2900_trpatch8_ss42,configs/experiment/p2_locked_holdout/p2lk_2900_trpatch8_ss42.yaml,runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/tmp_configs/p2lk_2900_trpatch8_ss42__h2ta_c-mk3__e-mend2a__x-mexo1_s42__m04_p2lk_2900_trpatch8_ss42__2900.yaml,20260307_032153_p2lk_2900_trpatch8_ss42__h2ta_c-mk3__e-mend2a__x-mexo1_s42__m04_p2lk_2900_trpatch8_ss42__2900,runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/train_runs/20260307_032153_p2lk_2900_trpatch8_ss42__h2ta_c-mk3__e-mend2a__x-mexo1_s42__m04_p2lk_2900_trpatch8_ss42__2900,90,28
mk3,mend2a,mexo2a,42,1500,m01_p2lk_1500_ramannet_ss11,configs/experiment/p2_locked_holdout/p2lk_1500_ramannet_ss11.yaml,runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/tmp_configs/p2lk_1500_ramannet_ss11__h2ta_c-mk3__e-mend2a__x-mexo2a_s42__m01_p2lk_1500_ramannet_ss11__1500.yaml,20260307_032214_p2lk_1500_ramannet_ss11__h2ta_c-mk3__e-mend2a__x-mexo2a_s42__m01_p2lk_1500_ramannet_ss11__1500,runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/train_runs/20260307_032214_p2lk_1500_ramannet_ss11__h2ta_c-mk3__e-mend2a__x-mexo2a_s42__m01_p2lk_1500_ramannet_ss11__1500,84,34
mk3,mend2a,mexo2a,42,1500,m02_p2lk_1500_ramannet_ss22,configs/experiment/p2_locked_holdout/p2lk_1500_ramannet_ss22.yaml,runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/tmp_configs/p2lk_1500_ramannet_ss22__h2ta_c-mk3__e-mend2a__x-mexo2a_s42__m02_p2lk_1500_ramannet_ss22__1500.yaml,20260307_032235_p2lk_1500_ramannet_ss22__h2ta_c-mk3__e-mend2a__x-mexo2a_s42__m02_p2lk_1500_ramannet_ss22__1500,runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/train_runs/20260307_032235_p2lk_1500_ramannet_ss22__h2ta_c-mk3__e-mend2a__x-mexo2a_s42__m02_p2lk_1500_ramannet_ss22__1500,84,34
mk3,mend2a,mexo2a,42,1500,m03_p2lk_1500_ramannet_ss33,configs/experiment/p2_locked_holdout/p2lk_1500_ramannet_ss33.yaml,runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/tmp_configs/p2lk_1500_ramannet_ss33__h2ta_c-mk3__e-mend2a__x-mexo2a_s42__m03_p2lk_1500_ramannet_ss33__1500.yaml,20260307_032256_p2lk_1500_ramannet_ss33__h2ta_c-mk3__e-mend2a__x-mexo2a_s42__m03_p2lk_1500_ramannet_ss33__1500,runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/train_runs/20260307_032256_p2lk_1500_ramannet_ss33__h2ta_c-mk3__e-mend2a__x-mexo2a_s42__m03_p2lk_1500_ramannet_ss33__1500,84,34
mk3,mend2a,mexo2a,42,1500,m04_p2lk_1500_ramannet_ss42,configs/experiment/p2_locked_holdout/p2lk_1500_ramannet_ss42.yaml,runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/tmp_configs/p2lk_1500_ramannet_ss42__h2ta_c-mk3__e-mend2a__x-mexo2a_s42__m04_p2lk_1500_ramannet_ss42__1500.yaml,20260307_032315_p2lk_1500_ramannet_ss42__h2ta_c-mk3__e-mend2a__x-mexo2a_s42__m04_p2lk_1500_ramannet_ss42__1500,runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/train_runs/20260307_032315_p2lk_1500_ramannet_ss42__h2ta_c-mk3__e-mend2a__x-mexo2a_s42__m04_p2lk_1500_ramannet_ss42__1500,84,34
mk3,mend2a,mexo2a,42,2900,m01_p2lk_2900_trpatch8_ss11,configs/experiment/p2_locked_holdout/p2lk_2900_trpatch8_ss11.yaml,runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/tmp_configs/p2lk_2900_trpatch8_ss11__h2ta_c-mk3__e-mend2a__x-mexo2a_s42__m01_p2lk_2900_trpatch8_ss11__2900.yaml,20260307_032359_p2lk_2900_trpatch8_ss11__h2ta_c-mk3__e-mend2a__x-mexo2a_s42__m01_p2lk_2900_trpatch8_ss11__2900,runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/train_runs/20260307_032359_p2lk_2900_trpatch8_ss11__h2ta_c-mk3__e-mend2a__x-mexo2a_s42__m01_p2lk_2900_trpatch8_ss11__2900,84,34
mk3,mend2a,mexo2a,42,2900,m02_p2lk_2900_trpatch8_ss22,configs/experiment/p2_locked_holdout/p2lk_2900_trpatch8_ss22.yaml,runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/tmp_configs/p2lk_2900_trpatch8_ss22__h2ta_c-mk3__e-mend2a__x-mexo2a_s42__m02_p2lk_2900_trpatch8_ss22__2900.yaml,20260307_032450_p2lk_2900_trpatch8_ss22__h2ta_c-mk3__e-mend2a__x-mexo2a_s42__m02_p2lk_2900_trpatch8_ss22__2900,runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/train_runs/20260307_032450_p2lk_2900_trpatch8_ss22__h2ta_c-mk3__e-mend2a__x-mexo2a_s42__m02_p2lk_2900_trpatch8_ss22__2900,84,34
mk3,mend2a,mexo2a,42,2900,m03_p2lk_2900_trpatch8_ss33,configs/experiment/p2_locked_holdout/p2lk_2900_trpatch8_ss33.yaml,runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/tmp_configs/p2lk_2900_trpatch8_ss33__h2ta_c-mk3__e-mend2a__x-mexo2a_s42__m03_p2lk_2900_trpatch8_ss33__2900.yaml,20260307_032538_p2lk_2900_trpatch8_ss33__h2ta_c-mk3__e-mend2a__x-mexo2a_s42__m03_p2lk_2900_trpatch8_ss33__2900,runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/train_runs/20260307_032538_p2lk_2900_trpatch8_ss33__h2ta_c-mk3__e-mend2a__x-mexo2a_s42__m03_p2lk_2900_trpatch8_ss33__2900,84,34
mk3,mend2a,mexo2a,42,2900,m04_p2lk_2900_trpatch8_ss42,configs/experiment/p2_locked_holdout/p2lk_2900_trpatch8_ss42.yaml,runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/tmp_configs/p2lk_2900_trpatch8_ss42__h2ta_c-mk3__e-mend2a__x-mexo2a_s42__m04_p2lk_2900_trpatch8_ss42__2900.yaml,20260307_032624_p2lk_2900_trpatch8_ss42__h2ta_c-mk3__e-mend2a__x-mexo2a_s42__m04_p2lk_2900_trpatch8_ss42__2900,runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/train_runs/20260307_032624_p2lk_2900_trpatch8_ss42__h2ta_c-mk3__e-mend2a__x-mexo2a_s42__m04_p2lk_2900_trpatch8_ss42__2900,84,34
mk3,mend3,mexo2b,42,1500,m01_p2lk_1500_ramannet_ss11,configs/experiment/p2_locked_holdout/p2lk_1500_ramannet_ss11.yaml,runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/tmp_configs/p2lk_1500_ramannet_ss11__h2ta_c-mk3__e-mend3__x-mexo2b_s42__m01_p2lk_1500_ramannet_ss11__1500.yaml,20260307_032646_p2lk_1500_ramannet_ss11__h2ta_c-mk3__e-mend3__x-mexo2b_s42__m01_p2lk_1500_ramannet_ss11__1500,runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/train_runs/20260307_032646_p2lk_1500_ramannet_ss11__h2ta_c-mk3__e-mend3__x-mexo2b_s42__m01_p2lk_1500_ramannet_ss11__1500,90,28
mk3,mend3,mexo2b,42,1500,m02_p2lk_1500_ramannet_ss22,configs/experiment/p2_locked_holdout/p2lk_1500_ramannet_ss22.yaml,runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/tmp_configs/p2lk_1500_ramannet_ss22__h2ta_c-mk3__e-mend3__x-mexo2b_s42__m02_p2lk_1500_ramannet_ss22__1500.yaml,20260307_032709_p2lk_1500_ramannet_ss22__h2ta_c-mk3__e-mend3__x-mexo2b_s42__m02_p2lk_1500_ramannet_ss22__1500,runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/train_runs/20260307_032709_p2lk_1500_ramannet_ss22__h2ta_c-mk3__e-mend3__x-mexo2b_s42__m02_p2lk_1500_ramannet_ss22__1500,90,28
mk3,mend3,mexo2b,42,1500,m03_p2lk_1500_ramannet_ss33,configs/experiment/p2_locked_holdout/p2lk_1500_ramannet_ss33.yaml,runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/tmp_configs/p2lk_1500_ramannet_ss33__h2ta_c-mk3__e-mend3__x-mexo2b_s42__m03_p2lk_1500_ramannet_ss33__1500.yaml,20260307_032731_p2lk_1500_ramannet_ss33__h2ta_c-mk3__e-mend3__x-mexo2b_s42__m03_p2lk_1500_ramannet_ss33__1500,runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/train_runs/20260307_032731_p2lk_1500_ramannet_ss33__h2ta_c-mk3__e-mend3__x-mexo2b_s42__m03_p2lk_1500_ramannet_ss33__1500,90,28
mk3,mend3,mexo2b,42,1500,m04_p2lk_1500_ramannet_ss42,configs/experiment/p2_locked_holdout/p2lk_1500_ramannet_ss42.yaml,runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/tmp_configs/p2lk_1500_ramannet_ss42__h2ta_c-mk3__e-mend3__x-mexo2b_s42__m04_p2lk_1500_ramannet_ss42__1500.yaml,20260307_032753_p2lk_1500_ramannet_ss42__h2ta_c-mk3__e-mend3__x-mexo2b_s42__m04_p2lk_1500_ramannet_ss42__1500,runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/train_runs/20260307_032753_p2lk_1500_ramannet_ss42__h2ta_c-mk3__e-mend3__x-mexo2b_s42__m04_p2lk_1500_ramannet_ss42__1500,90,28
mk3,mend3,mexo2b,42,2900,m01_p2lk_2900_trpatch8_ss11,configs/experiment/p2_locked_holdout/p2lk_2900_trpatch8_ss11.yaml,runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/tmp_configs/p2lk_2900_trpatch8_ss11__h2ta_c-mk3__e-mend3__x-mexo2b_s42__m01_p2lk_2900_trpatch8_ss11__2900.yaml,20260307_032841_p2lk_2900_trpatch8_ss11__h2ta_c-mk3__e-mend3__x-mexo2b_s42__m01_p2lk_2900_trpatch8_ss11__2900,runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/train_runs/20260307_032841_p2lk_2900_trpatch8_ss11__h2ta_c-mk3__e-mend3__x-mexo2b_s42__m01_p2lk_2900_trpatch8_ss11__2900,90,28
mk3,mend3,mexo2b,42,2900,m02_p2lk_2900_trpatch8_ss22,configs/experiment/p2_locked_holdout/p2lk_2900_trpatch8_ss22.yaml,runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/tmp_configs/p2lk_2900_trpatch8_ss22__h2ta_c-mk3__e-mend3__x-mexo2b_s42__m02_p2lk_2900_trpatch8_ss22__2900.yaml,20260307_032931_p2lk_2900_trpatch8_ss22__h2ta_c-mk3__e-mend3__x-mexo2b_s42__m02_p2lk_2900_trpatch8_ss22__2900,runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/train_runs/20260307_032931_p2lk_2900_trpatch8_ss22__h2ta_c-mk3__e-mend3__x-mexo2b_s42__m02_p2lk_2900_trpatch8_ss22__2900,90,28
mk3,mend3,mexo2b,42,2900,m03_p2lk_2900_trpatch8_ss33,configs/experiment/p2_locked_holdout/p2lk_2900_trpatch8_ss33.yaml,runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/tmp_configs/p2lk_2900_trpatch8_ss33__h2ta_c-mk3__e-mend3__x-mexo2b_s42__m03_p2lk_2900_trpatch8_ss33__2900.yaml,20260307_033037_p2lk_2900_trpatch8_ss33__h2ta_c-mk3__e-mend3__x-mexo2b_s42__m03_p2lk_2900_trpatch8_ss33__2900,runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/train_runs/20260307_033037_p2lk_2900_trpatch8_ss33__h2ta_c-mk3__e-mend3__x-mexo2b_s42__m03_p2lk_2900_trpatch8_ss33__2900,90,28
mk3,mend3,mexo2b,42,2900,m04_p2lk_2900_trpatch8_ss42,configs/experiment/p2_locked_holdout/p2lk_2900_trpatch8_ss42.yaml,runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/tmp_configs/p2lk_2900_trpatch8_ss42__h2ta_c-mk3__e-mend3__x-mexo2b_s42__m04_p2lk_2900_trpatch8_ss42__2900.yaml,20260307_033135_p2lk_2900_trpatch8_ss42__h2ta_c-mk3__e-mend3__x-mexo2b_s42__m04_p2lk_2900_trpatch8_ss42__2900,runs/analysis/hyp_v2_h2_train_aware_p2_fast4_20260307/train_runs/20260307_033135_p2lk_2900_trpatch8_ss42__h2ta_c-mk3__e-mend3__x-mexo2b_s42__m04_p2lk_2900_trpatch8_ss42__2900,90,28
