run_dir,n_rows,n_holdout_rows,n_cv_rows,holdout_groups,holdout_mice_seen,cv_overlap_with_holdout_groups,holdout_rows_outside_holdout_groups,holdout_groups_missing_in_holdout_split,ok,center,holdout_control,holdout_endo,holdout_exo
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_034443_p2lk_1500_ramannet_ss33__h1ta_c-mk1__e-mend2b__x-mexo2b_s42__m03_p2lk_1500_ramannet_ss33__1500,118,30,88,"[""mk1"", ""mend2b"", ""mexo2b""]","[""mend2b"", ""mexo2b"", ""mk1""]",[],[],[],true,1500,mk1,mend2b,mexo2b
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_034502_p2lk_1500_ramannet_ss42__h1ta_c-mk1__e-mend2b__x-mexo2b_s42__m04_p2lk_1500_ramannet_ss42__1500,118,30,88,"[""mk1"", ""mend2b"", ""mexo2b""]","[""mend2b"", ""mexo2b"", ""mk1""]",[],[],[],true,1500,mk1,mend2b,mexo2b
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_034558_p2lk_2900_trpatch8_ss11__h1ta_c-mk1__e-mend2b__x-mexo2b_s42__m01_p2lk_2900_trpatch8_ss11__2900,118,30,88,"[""mk1"", ""mend2b"", ""mexo2b""]","[""mend2b"", ""mexo2b"", ""mk1""]",[],[],[],true,2900,mk1,mend2b,mexo2b
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_034658_p2lk_2900_trpatch8_ss22__h1ta_c-mk1__e-mend2b__x-mexo2b_s42__m02_p2lk_2900_trpatch8_ss22__2900,118,30,88,"[""mk1"", ""mend2b"", ""mexo2b""]","[""mend2b"", ""mexo2b"", ""mk1""]",[],[],[],true,2900,mk1,mend2b,mexo2b
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_034746_p2lk_2900_trpatch8_ss33__h1ta_c-mk1__e-mend2b__x-mexo2b_s42__m03_p2lk_2900_trpatch8_ss33__2900,118,30,88,"[""mk1"", ""mend2b"", ""mexo2b""]","[""mend2b"", ""mexo2b"", ""mk1""]",[],[],[],true,2900,mk1,mend2b,mexo2b
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_034846_p2lk_2900_trpatch8_ss42__h1ta_c-mk1__e-mend2b__x-mexo2b_s42__m04_p2lk_2900_trpatch8_ss42__2900,118,30,88,"[""mk1"", ""mend2b"", ""mexo2b""]","[""mend2b"", ""mexo2b"", ""mk1""]",[],[],[],true,2900,mk1,mend2b,mexo2b
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_034909_p2lk_1500_ramannet_ss11__h1ta_c-mk1__e-mend3__x-mexo2a_s42__m01_p2lk_1500_ramannet_ss11__1500,118,24,94,"[""mk1"", ""mend3"", ""mexo2a""]","[""mend3"", ""mexo2a"", ""mk1""]",[],[],[],true,1500,mk1,mend3,mexo2a
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_034932_p2lk_1500_ramannet_ss22__h1ta_c-mk1__e-mend3__x-mexo2a_s42__m02_p2lk_1500_ramannet_ss22__1500,118,24,94,"[""mk1"", ""mend3"", ""mexo2a""]","[""mend3"", ""mexo2a"", ""mk1""]",[],[],[],true,1500,mk1,mend3,mexo2a
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_034957_p2lk_1500_ramannet_ss33__h1ta_c-mk1__e-mend3__x-mexo2a_s42__m03_p2lk_1500_ramannet_ss33__1500,118,24,94,"[""mk1"", ""mend3"", ""mexo2a""]","[""mend3"", ""mexo2a"", ""mk1""]",[],[],[],true,1500,mk1,mend3,mexo2a
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_035019_p2lk_1500_ramannet_ss42__h1ta_c-mk1__e-mend3__x-mexo2a_s42__m04_p2lk_1500_ramannet_ss42__1500,118,24,94,"[""mk1"", ""mend3"", ""mexo2a""]","[""mend3"", ""mexo2a"", ""mk1""]",[],[],[],true,1500,mk1,mend3,mexo2a
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_035103_p2lk_2900_trpatch8_ss11__h1ta_c-mk1__e-mend3__x-mexo2a_s42__m01_p2lk_2900_trpatch8_ss11__2900,118,24,94,"[""mk1"", ""mend3"", ""mexo2a""]","[""mend3"", ""mexo2a"", ""mk1""]",[],[],[],true,2900,mk1,mend3,mexo2a
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_035152_p2lk_2900_trpatch8_ss22__h1ta_c-mk1__e-mend3__x-mexo2a_s42__m02_p2lk_2900_trpatch8_ss22__2900,118,24,94,"[""mk1"", ""mend3"", ""mexo2a""]","[""mend3"", ""mexo2a"", ""mk1""]",[],[],[],true,2900,mk1,mend3,mexo2a
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_035253_p2lk_2900_trpatch8_ss33__h1ta_c-mk1__e-mend3__x-mexo2a_s42__m03_p2lk_2900_trpatch8_ss33__2900,118,24,94,"[""mk1"", ""mend3"", ""mexo2a""]","[""mend3"", ""mexo2a"", ""mk1""]",[],[],[],true,2900,mk1,mend3,mexo2a
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_035355_p2lk_2900_trpatch8_ss42__h1ta_c-mk1__e-mend3__x-mexo2a_s42__m04_p2lk_2900_trpatch8_ss42__2900,118,24,94,"[""mk1"", ""mend3"", ""mexo2a""]","[""mend3"", ""mexo2a"", ""mk1""]",[],[],[],true,2900,mk1,mend3,mexo2a
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_035420_p2lk_1500_ramannet_ss11__h1ta_c-mk1__e-mend3__x-mexo2b_s42__m01_p2lk_1500_ramannet_ss11__1500,118,24,94,"[""mk1"", ""mend3"", ""mexo2b""]","[""mend3"", ""mexo2b"", ""mk1""]",[],[],[],true,1500,mk1,mend3,mexo2b
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_035441_p2lk_1500_ramannet_ss22__h1ta_c-mk1__e-mend3__x-mexo2b_s42__m02_p2lk_1500_ramannet_ss22__1500,118,24,94,"[""mk1"", ""mend3"", ""mexo2b""]","[""mend3"", ""mexo2b"", ""mk1""]",[],[],[],true,1500,mk1,mend3,mexo2b
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_035500_p2lk_1500_ramannet_ss33__h1ta_c-mk1__e-mend3__x-mexo2b_s42__m03_p2lk_1500_ramannet_ss33__1500,118,24,94,"[""mk1"", ""mend3"", ""mexo2b""]","[""mend3"", ""mexo2b"", ""mk1""]",[],[],[],true,1500,mk1,mend3,mexo2b
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_035518_p2lk_1500_ramannet_ss42__h1ta_c-mk1__e-mend3__x-mexo2b_s42__m04_p2lk_1500_ramannet_ss42__1500,118,24,94,"[""mk1"", ""mend3"", ""mexo2b""]","[""mend3"", ""mexo2b"", ""mk1""]",[],[],[],true,1500,mk1,mend3,mexo2b
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_035632_p2lk_2900_trpatch8_ss11__h1ta_c-mk1__e-mend3__x-mexo2b_s42__m01_p2lk_2900_trpatch8_ss11__2900,118,24,94,"[""mk1"", ""mend3"", ""mexo2b""]","[""mend3"", ""mexo2b"", ""mk1""]",[],[],[],true,2900,mk1,mend3,mexo2b
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_035735_p2lk_2900_trpatch8_ss22__h1ta_c-mk1__e-mend3__x-mexo2b_s42__m02_p2lk_2900_trpatch8_ss22__2900,118,24,94,"[""mk1"", ""mend3"", ""mexo2b""]","[""mend3"", ""mexo2b"", ""mk1""]",[],[],[],true,2900,mk1,mend3,mexo2b
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_035841_p2lk_2900_trpatch8_ss33__h1ta_c-mk1__e-mend3__x-mexo2b_s42__m03_p2lk_2900_trpatch8_ss33__2900,118,24,94,"[""mk1"", ""mend3"", ""mexo2b""]","[""mend3"", ""mexo2b"", ""mk1""]",[],[],[],true,2900,mk1,mend3,mexo2b
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_035951_p2lk_2900_trpatch8_ss42__h1ta_c-mk1__e-mend3__x-mexo2b_s42__m04_p2lk_2900_trpatch8_ss42__2900,118,24,94,"[""mk1"", ""mend3"", ""mexo2b""]","[""mend3"", ""mexo2b"", ""mk1""]",[],[],[],true,2900,mk1,mend3,mexo2b
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_040016_p2lk_1500_ramannet_ss11__h1ta_c-mk2a__e-mend3__x-mexo3_s42__m01_p2lk_1500_ramannet_ss11__1500,118,30,88,"[""mk2a"", ""mend3"", ""mexo3""]","[""mend3"", ""mexo3"", ""mk2a""]",[],[],[],true,1500,mk2a,mend3,mexo3
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_040034_p2lk_1500_ramannet_ss22__h1ta_c-mk2a__e-mend3__x-mexo3_s42__m02_p2lk_1500_ramannet_ss22__1500,118,30,88,"[""mk2a"", ""mend3"", ""mexo3""]","[""mend3"", ""mexo3"", ""mk2a""]",[],[],[],true,1500,mk2a,mend3,mexo3
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_040054_p2lk_1500_ramannet_ss33__h1ta_c-mk2a__e-mend3__x-mexo3_s42__m03_p2lk_1500_ramannet_ss33__1500,118,30,88,"[""mk2a"", ""mend3"", ""mexo3""]","[""mend3"", ""mexo3"", ""mk2a""]",[],[],[],true,1500,mk2a,mend3,mexo3
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_040112_p2lk_1500_ramannet_ss42__h1ta_c-mk2a__e-mend3__x-mexo3_s42__m04_p2lk_1500_ramannet_ss42__1500,118,30,88,"[""mk2a"", ""mend3"", ""mexo3""]","[""mend3"", ""mexo3"", ""mk2a""]",[],[],[],true,1500,mk2a,mend3,mexo3
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_040205_p2lk_2900_trpatch8_ss11__h1ta_c-mk2a__e-mend3__x-mexo3_s42__m01_p2lk_2900_trpatch8_ss11__2900,118,30,88,"[""mk2a"", ""mend3"", ""mexo3""]","[""mend3"", ""mexo3"", ""mk2a""]",[],[],[],true,2900,mk2a,mend3,mexo3
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_040304_p2lk_2900_trpatch8_ss22__h1ta_c-mk2a__e-mend3__x-mexo3_s42__m02_p2lk_2900_trpatch8_ss22__2900,118,30,88,"[""mk2a"", ""mend3"", ""mexo3""]","[""mend3"", ""mexo3"", ""mk2a""]",[],[],[],true,2900,mk2a,mend3,mexo3
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_040413_p2lk_2900_trpatch8_ss33__h1ta_c-mk2a__e-mend3__x-mexo3_s42__m03_p2lk_2900_trpatch8_ss33__2900,118,30,88,"[""mk2a"", ""mend3"", ""mexo3""]","[""mend3"", ""mexo3"", ""mk2a""]",[],[],[],true,2900,mk2a,mend3,mexo3
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_040522_p2lk_2900_trpatch8_ss42__h1ta_c-mk2a__e-mend3__x-mexo3_s42__m04_p2lk_2900_trpatch8_ss42__2900,118,30,88,"[""mk2a"", ""mend3"", ""mexo3""]","[""mend3"", ""mexo3"", ""mk2a""]",[],[],[],true,2900,mk2a,mend3,mexo3
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_040544_p2lk_1500_ramannet_ss11__h1ta_c-mk2b__e-mend1__x-mexo2a_s42__m01_p2lk_1500_ramannet_ss11__1500,118,30,88,"[""mk2b"", ""mend1"", ""mexo2a""]","[""mend1"", ""mexo2a"", ""mk2b""]",[],[],[],true,1500,mk2b,mend1,mexo2a
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_040604_p2lk_1500_ramannet_ss22__h1ta_c-mk2b__e-mend1__x-mexo2a_s42__m02_p2lk_1500_ramannet_ss22__1500,118,30,88,"[""mk2b"", ""mend1"", ""mexo2a""]","[""mend1"", ""mexo2a"", ""mk2b""]",[],[],[],true,1500,mk2b,mend1,mexo2a
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_040624_p2lk_1500_ramannet_ss33__h1ta_c-mk2b__e-mend1__x-mexo2a_s42__m03_p2lk_1500_ramannet_ss33__1500,118,30,88,"[""mk2b"", ""mend1"", ""mexo2a""]","[""mend1"", ""mexo2a"", ""mk2b""]",[],[],[],true,1500,mk2b,mend1,mexo2a
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_040642_p2lk_1500_ramannet_ss42__h1ta_c-mk2b__e-mend1__x-mexo2a_s42__m04_p2lk_1500_ramannet_ss42__1500,118,30,88,"[""mk2b"", ""mend1"", ""mexo2a""]","[""mend1"", ""mexo2a"", ""mk2b""]",[],[],[],true,1500,mk2b,mend1,mexo2a
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_040745_p2lk_2900_trpatch8_ss11__h1ta_c-mk2b__e-mend1__x-mexo2a_s42__m01_p2lk_2900_trpatch8_ss11__2900,118,30,88,"[""mk2b"", ""mend1"", ""mexo2a""]","[""mend1"", ""mexo2a"", ""mk2b""]",[],[],[],true,2900,mk2b,mend1,mexo2a
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_040842_p2lk_2900_trpatch8_ss22__h1ta_c-mk2b__e-mend1__x-mexo2a_s42__m02_p2lk_2900_trpatch8_ss22__2900,118,30,88,"[""mk2b"", ""mend1"", ""mexo2a""]","[""mend1"", ""mexo2a"", ""mk2b""]",[],[],[],true,2900,mk2b,mend1,mexo2a
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_040940_p2lk_2900_trpatch8_ss33__h1ta_c-mk2b__e-mend1__x-mexo2a_s42__m03_p2lk_2900_trpatch8_ss33__2900,118,30,88,"[""mk2b"", ""mend1"", ""mexo2a""]","[""mend1"", ""mexo2a"", ""mk2b""]",[],[],[],true,2900,mk2b,mend1,mexo2a
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_041041_p2lk_2900_trpatch8_ss42__h1ta_c-mk2b__e-mend1__x-mexo2a_s42__m04_p2lk_2900_trpatch8_ss42__2900,118,30,88,"[""mk2b"", ""mend1"", ""mexo2a""]","[""mend1"", ""mexo2a"", ""mk2b""]",[],[],[],true,2900,mk2b,mend1,mexo2a
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_041103_p2lk_1500_ramannet_ss11__h1ta_c-mk2b__e-mend2a__x-mexo2b_s42__m01_p2lk_1500_ramannet_ss11__1500,118,36,82,"[""mk2b"", ""mend2a"", ""mexo2b""]","[""mend2a"", ""mexo2b"", ""mk2b""]",[],[],[],true,1500,mk2b,mend2a,mexo2b
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_041125_p2lk_1500_ramannet_ss22__h1ta_c-mk2b__e-mend2a__x-mexo2b_s42__m02_p2lk_1500_ramannet_ss22__1500,118,36,82,"[""mk2b"", ""mend2a"", ""mexo2b""]","[""mend2a"", ""mexo2b"", ""mk2b""]",[],[],[],true,1500,mk2b,mend2a,mexo2b
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_041143_p2lk_1500_ramannet_ss33__h1ta_c-mk2b__e-mend2a__x-mexo2b_s42__m03_p2lk_1500_ramannet_ss33__1500,118,36,82,"[""mk2b"", ""mend2a"", ""mexo2b""]","[""mend2a"", ""mexo2b"", ""mk2b""]",[],[],[],true,1500,mk2b,mend2a,mexo2b
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_041201_p2lk_1500_ramannet_ss42__h1ta_c-mk2b__e-mend2a__x-mexo2b_s42__m04_p2lk_1500_ramannet_ss42__1500,118,36,82,"[""mk2b"", ""mend2a"", ""mexo2b""]","[""mend2a"", ""mexo2b"", ""mk2b""]",[],[],[],true,1500,mk2b,mend2a,mexo2b
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_041318_p2lk_2900_trpatch8_ss11__h1ta_c-mk2b__e-mend2a__x-mexo2b_s42__m01_p2lk_2900_trpatch8_ss11__2900,118,36,82,"[""mk2b"", ""mend2a"", ""mexo2b""]","[""mend2a"", ""mexo2b"", ""mk2b""]",[],[],[],true,2900,mk2b,mend2a,mexo2b
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_041409_p2lk_2900_trpatch8_ss22__h1ta_c-mk2b__e-mend2a__x-mexo2b_s42__m02_p2lk_2900_trpatch8_ss22__2900,118,36,82,"[""mk2b"", ""mend2a"", ""mexo2b""]","[""mend2a"", ""mexo2b"", ""mk2b""]",[],[],[],true,2900,mk2b,mend2a,mexo2b
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_041511_p2lk_2900_trpatch8_ss33__h1ta_c-mk2b__e-mend2a__x-mexo2b_s42__m03_p2lk_2900_trpatch8_ss33__2900,118,36,82,"[""mk2b"", ""mend2a"", ""mexo2b""]","[""mend2a"", ""mexo2b"", ""mk2b""]",[],[],[],true,2900,mk2b,mend2a,mexo2b
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_041606_p2lk_2900_trpatch8_ss42__h1ta_c-mk2b__e-mend2a__x-mexo2b_s42__m04_p2lk_2900_trpatch8_ss42__2900,118,36,82,"[""mk2b"", ""mend2a"", ""mexo2b""]","[""mend2a"", ""mexo2b"", ""mk2b""]",[],[],[],true,2900,mk2b,mend2a,mexo2b
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_041628_p2lk_1500_ramannet_ss11__h1ta_c-mk3__e-mend2a__x-mexo1_s42__m01_p2lk_1500_ramannet_ss11__1500,118,28,90,"[""mk3"", ""mend2a"", ""mexo1""]","[""mend2a"", ""mexo1"", ""mk3""]",[],[],[],true,1500,mk3,mend2a,mexo1
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_041649_p2lk_1500_ramannet_ss22__h1ta_c-mk3__e-mend2a__x-mexo1_s42__m02_p2lk_1500_ramannet_ss22__1500,118,28,90,"[""mk3"", ""mend2a"", ""mexo1""]","[""mend2a"", ""mexo1"", ""mk3""]",[],[],[],true,1500,mk3,mend2a,mexo1
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_041709_p2lk_1500_ramannet_ss33__h1ta_c-mk3__e-mend2a__x-mexo1_s42__m03_p2lk_1500_ramannet_ss33__1500,118,28,90,"[""mk3"", ""mend2a"", ""mexo1""]","[""mend2a"", ""mexo1"", ""mk3""]",[],[],[],true,1500,mk3,mend2a,mexo1
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_041729_p2lk_1500_ramannet_ss42__h1ta_c-mk3__e-mend2a__x-mexo1_s42__m04_p2lk_1500_ramannet_ss42__1500,118,28,90,"[""mk3"", ""mend2a"", ""mexo1""]","[""mend2a"", ""mexo1"", ""mk3""]",[],[],[],true,1500,mk3,mend2a,mexo1
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_041836_p2lk_2900_trpatch8_ss11__h1ta_c-mk3__e-mend2a__x-mexo1_s42__m01_p2lk_2900_trpatch8_ss11__2900,118,28,90,"[""mk3"", ""mend2a"", ""mexo1""]","[""mend2a"", ""mexo1"", ""mk3""]",[],[],[],true,2900,mk3,mend2a,mexo1
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_041946_p2lk_2900_trpatch8_ss22__h1ta_c-mk3__e-mend2a__x-mexo1_s42__m02_p2lk_2900_trpatch8_ss22__2900,118,28,90,"[""mk3"", ""mend2a"", ""mexo1""]","[""mend2a"", ""mexo1"", ""mk3""]",[],[],[],true,2900,mk3,mend2a,mexo1
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_042037_p2lk_2900_trpatch8_ss33__h1ta_c-mk3__e-mend2a__x-mexo1_s42__m03_p2lk_2900_trpatch8_ss33__2900,118,28,90,"[""mk3"", ""mend2a"", ""mexo1""]","[""mend2a"", ""mexo1"", ""mk3""]",[],[],[],true,2900,mk3,mend2a,mexo1
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_042137_p2lk_2900_trpatch8_ss42__h1ta_c-mk3__e-mend2a__x-mexo1_s42__m04_p2lk_2900_trpatch8_ss42__2900,118,28,90,"[""mk3"", ""mend2a"", ""mexo1""]","[""mend2a"", ""mexo1"", ""mk3""]",[],[],[],true,2900,mk3,mend2a,mexo1
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_042200_p2lk_1500_ramannet_ss11__h1ta_c-mk3__e-mend2a__x-mexo2a_s42__m01_p2lk_1500_ramannet_ss11__1500,118,34,84,"[""mk3"", ""mend2a"", ""mexo2a""]","[""mend2a"", ""mexo2a"", ""mk3""]",[],[],[],true,1500,mk3,mend2a,mexo2a
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_042223_p2lk_1500_ramannet_ss22__h1ta_c-mk3__e-mend2a__x-mexo2a_s42__m02_p2lk_1500_ramannet_ss22__1500,118,34,84,"[""mk3"", ""mend2a"", ""mexo2a""]","[""mend2a"", ""mexo2a"", ""mk3""]",[],[],[],true,1500,mk3,mend2a,mexo2a
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_042245_p2lk_1500_ramannet_ss33__h1ta_c-mk3__e-mend2a__x-mexo2a_s42__m03_p2lk_1500_ramannet_ss33__1500,118,34,84,"[""mk3"", ""mend2a"", ""mexo2a""]","[""mend2a"", ""mexo2a"", ""mk3""]",[],[],[],true,1500,mk3,mend2a,mexo2a
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_042307_p2lk_1500_ramannet_ss42__h1ta_c-mk3__e-mend2a__x-mexo2a_s42__m04_p2lk_1500_ramannet_ss42__1500,118,34,84,"[""mk3"", ""mend2a"", ""mexo2a""]","[""mend2a"", ""mexo2a"", ""mk3""]",[],[],[],true,1500,mk3,mend2a,mexo2a
runs/analysis/hyp_v2_h1_train_aware_p2_confirm12_20260307/train_runs/20260307_042404_p2lk_2900_trpatch8_ss11__h1ta_c-mk3__e-mend2a__x-mexo2a_s42__m01_p2lk_2900_trpatch8_ss11__2900,118,34,84,"[""mk3"", ""mend2a"", ""mexo2a""]","[""mend2a"", ""mexo2a"", ""mk3""]",[],[],[],true,2900,mk3,mend2a,mexo2a
