holdout_control,holdout_endo,holdout_exo,triplet_seed,center,cfg_tag,base_cfg_path,generated_cfg_path,run_id,run_dir,n_holdout_rows
mk2a,mend2b,mexo3,42,1500,m03_p2lk_1500_ramannet_ss33,configs/experiment/p2_locked_holdout/p2lk_1500_ramannet_ss33.yaml,runs/analysis/hyp_v2_h1_train_aware_p2_finalcheck_20260307/tmp_configs/p2lk_1500_ramannet_ss33__h1ta_c-mk2a__e-mend2b__x-mexo3_s42__m03_p2lk_1500_ramannet_ss33__1500.yaml,20260307_013102_p2lk_1500_ramannet_ss33__h1ta_c-mk2a__e-mend2b__x-mexo3_s42__m03_p2lk_1500_ramannet_ss33__1500,runs/analysis/hyp_v2_h1_train_aware_p2_finalcheck_20260307/train_runs/20260307_013102_p2lk_1500_ramannet_ss33__h1ta_c-mk2a__e-mend2b__x-mexo3_s42__m03_p2lk_1500_ramannet_ss33__1500,36
mk2a,mend2b,mexo3,42,1500,m04_p2lk_1500_ramannet_ss42,configs/experiment/p2_locked_holdout/p2lk_1500_ramannet_ss42.yaml,runs/analysis/hyp_v2_h1_train_aware_p2_finalcheck_20260307/tmp_configs/p2lk_1500_ramannet_ss42__h1ta_c-mk2a__e-mend2b__x-mexo3_s42__m04_p2lk_1500_ramannet_ss42__1500.yaml,20260307_013122_p2lk_1500_ramannet_ss42__h1ta_c-mk2a__e-mend2b__x-mexo3_s42__m04_p2lk_1500_ramannet_ss42__1500,runs/analysis/hyp_v2_h1_train_aware_p2_finalcheck_20260307/train_runs/20260307_013122_p2lk_1500_ramannet_ss42__h1ta_c-mk2a__e-mend2b__x-mexo3_s42__m04_p2lk_1500_ramannet_ss42__1500,36
mk2a,mend2b,mexo3,42,2900,m01_p2lk_2900_trpatch8_ss11,configs/experiment/p2_locked_holdout/p2lk_2900_trpatch8_ss11.yaml,runs/analysis/hyp_v2_h1_train_aware_p2_finalcheck_20260307/tmp_configs/p2lk_2900_trpatch8_ss11__h1ta_c-mk2a__e-mend2b__x-mexo3_s42__m01_p2lk_2900_trpatch8_ss11__2900.yaml,20260307_013214_p2lk_2900_trpatch8_ss11__h1ta_c-mk2a__e-mend2b__x-mexo3_s42__m01_p2lk_2900_trpatch8_ss11__2900,runs/analysis/hyp_v2_h1_train_aware_p2_finalcheck_20260307/train_runs/20260307_013214_p2lk_2900_trpatch8_ss11__h1ta_c-mk2a__e-mend2b__x-mexo3_s42__m01_p2lk_2900_trpatch8_ss11__2900,36
mk2a,mend2b,mexo3,42,2900,m02_p2lk_2900_trpatch8_ss22,configs/experiment/p2_locked_holdout/p2lk_2900_trpatch8_ss22.yaml,runs/analysis/hyp_v2_h1_train_aware_p2_finalcheck_20260307/tmp_configs/p2lk_2900_trpatch8_ss22__h1ta_c-mk2a__e-mend2b__x-mexo3_s42__m02_p2lk_2900_trpatch8_ss22__2900.yaml,20260307_013307_p2lk_2900_trpatch8_ss22__h1ta_c-mk2a__e-mend2b__x-mexo3_s42__m02_p2lk_2900_trpatch8_ss22__2900,runs/analysis/hyp_v2_h1_train_aware_p2_finalcheck_20260307/train_runs/20260307_013307_p2lk_2900_trpatch8_ss22__h1ta_c-mk2a__e-mend2b__x-mexo3_s42__m02_p2lk_2900_trpatch8_ss22__2900,36
mk2a,mend2b,mexo3,42,2900,m03_p2lk_2900_trpatch8_ss33,configs/experiment/p2_locked_holdout/p2lk_2900_trpatch8_ss33.yaml,runs/analysis/hyp_v2_h1_train_aware_p2_finalcheck_20260307/tmp_configs/p2lk_2900_trpatch8_ss33__h1ta_c-mk2a__e-mend2b__x-mexo3_s42__m03_p2lk_2900_trpatch8_ss33__2900.yaml,20260307_013355_p2lk_2900_trpatch8_ss33__h1ta_c-mk2a__e-mend2b__x-mexo3_s42__m03_p2lk_2900_trpatch8_ss33__2900,runs/analysis/hyp_v2_h1_train_aware_p2_finalcheck_20260307/train_runs/20260307_013355_p2lk_2900_trpatch8_ss33__h1ta_c-mk2a__e-mend2b__x-mexo3_s42__m03_p2lk_2900_trpatch8_ss33__2900,36
mk2a,mend2b,mexo3,42,2900,m04_p2lk_2900_trpatch8_ss42,configs/experiment/p2_locked_holdout/p2lk_2900_trpatch8_ss42.yaml,runs/analysis/hyp_v2_h1_train_aware_p2_finalcheck_20260307/tmp_configs/p2lk_2900_trpatch8_ss42__h1ta_c-mk2a__e-mend2b__x-mexo3_s42__m04_p2lk_2900_trpatch8_ss42__2900.yaml,20260307_013442_p2lk_2900_trpatch8_ss42__h1ta_c-mk2a__e-mend2b__x-mexo3_s42__m04_p2lk_2900_trpatch8_ss42__2900,runs/analysis/hyp_v2_h1_train_aware_p2_finalcheck_20260307/train_runs/20260307_013442_p2lk_2900_trpatch8_ss42__h1ta_c-mk2a__e-mend2b__x-mexo3_s42__m04_p2lk_2900_trpatch8_ss42__2900,36
mk2b,mend2a,mexo3,42,1500,m01_p2lk_1500_ramannet_ss11,configs/experiment/p2_locked_holdout/p2lk_1500_ramannet_ss11.yaml,runs/analysis/hyp_v2_h1_train_aware_p2_finalcheck_20260307/tmp_configs/p2lk_1500_ramannet_ss11__h1ta_c-mk2b__e-mend2a__x-mexo3_s42__m01_p2lk_1500_ramannet_ss11__1500.yaml,20260307_013506_p2lk_1500_ramannet_ss11__h1ta_c-mk2b__e-mend2a__x-mexo3_s42__m01_p2lk_1500_ramannet_ss11__1500,runs/analysis/hyp_v2_h1_train_aware_p2_finalcheck_20260307/train_runs/20260307_013506_p2lk_1500_ramannet_ss11__h1ta_c-mk2b__e-mend2a__x-mexo3_s42__m01_p2lk_1500_ramannet_ss11__1500,36
mk2b,mend2a,mexo3,42,1500,m02_p2lk_1500_ramannet_ss22,configs/experiment/p2_locked_holdout/p2lk_1500_ramannet_ss22.yaml,runs/analysis/hyp_v2_h1_train_aware_p2_finalcheck_20260307/tmp_configs/p2lk_1500_ramannet_ss22__h1ta_c-mk2b__e-mend2a__x-mexo3_s42__m02_p2lk_1500_ramannet_ss22__1500.yaml,20260307_013527_p2lk_1500_ramannet_ss22__h1ta_c-mk2b__e-mend2a__x-mexo3_s42__m02_p2lk_1500_ramannet_ss22__1500,runs/analysis/hyp_v2_h1_train_aware_p2_finalcheck_20260307/train_runs/20260307_013527_p2lk_1500_ramannet_ss22__h1ta_c-mk2b__e-mend2a__x-mexo3_s42__m02_p2lk_1500_ramannet_ss22__1500,36
mk2b,mend2a,mexo3,42,1500,m03_p2lk_1500_ramannet_ss33,configs/experiment/p2_locked_holdout/p2lk_1500_ramannet_ss33.yaml,runs/analysis/hyp_v2_h1_train_aware_p2_finalcheck_20260307/tmp_configs/p2lk_1500_ramannet_ss33__h1ta_c-mk2b__e-mend2a__x-mexo3_s42__m03_p2lk_1500_ramannet_ss33__1500.yaml,20260307_013547_p2lk_1500_ramannet_ss33__h1ta_c-mk2b__e-mend2a__x-mexo3_s42__m03_p2lk_1500_ramannet_ss33__1500,runs/analysis/hyp_v2_h1_train_aware_p2_finalcheck_20260307/train_runs/20260307_013547_p2lk_1500_ramannet_ss33__h1ta_c-mk2b__e-mend2a__x-mexo3_s42__m03_p2lk_1500_ramannet_ss33__1500,36
mk2b,mend2a,mexo3,42,1500,m04_p2lk_1500_ramannet_ss42,configs/experiment/p2_locked_holdout/p2lk_1500_ramannet_ss42.yaml,runs/analysis/hyp_v2_h1_train_aware_p2_finalcheck_20260307/tmp_configs/p2lk_1500_ramannet_ss42__h1ta_c-mk2b__e-mend2a__x-mexo3_s42__m04_p2lk_1500_ramannet_ss42__1500.yaml,20260307_013607_p2lk_1500_ramannet_ss42__h1ta_c-mk2b__e-mend2a__x-mexo3_s42__m04_p2lk_1500_ramannet_ss42__1500,runs/analysis/hyp_v2_h1_train_aware_p2_finalcheck_20260307/train_runs/20260307_013607_p2lk_1500_ramannet_ss42__h1ta_c-mk2b__e-mend2a__x-mexo3_s42__m04_p2lk_1500_ramannet_ss42__1500,36
mk2b,mend2a,mexo3,42,2900,m01_p2lk_2900_trpatch8_ss11,configs/experiment/p2_locked_holdout/p2lk_2900_trpatch8_ss11.yaml,runs/analysis/hyp_v2_h1_train_aware_p2_finalcheck_20260307/tmp_configs/p2lk_2900_trpatch8_ss11__h1ta_c-mk2b__e-mend2a__x-mexo3_s42__m01_p2lk_2900_trpatch8_ss11__2900.yaml,20260307_013657_p2lk_2900_trpatch8_ss11__h1ta_c-mk2b__e-mend2a__x-mexo3_s42__m01_p2lk_2900_trpatch8_ss11__2900,runs/analysis/hyp_v2_h1_train_aware_p2_finalcheck_20260307/train_runs/20260307_013657_p2lk_2900_trpatch8_ss11__h1ta_c-mk2b__e-mend2a__x-mexo3_s42__m01_p2lk_2900_trpatch8_ss11__2900,36
mk2b,mend2a,mexo3,42,2900,m02_p2lk_2900_trpatch8_ss22,configs/experiment/p2_locked_holdout/p2lk_2900_trpatch8_ss22.yaml,runs/analysis/hyp_v2_h1_train_aware_p2_finalcheck_20260307/tmp_configs/p2lk_2900_trpatch8_ss22__h1ta_c-mk2b__e-mend2a__x-mexo3_s42__m02_p2lk_2900_trpatch8_ss22__2900.yaml,20260307_013745_p2lk_2900_trpatch8_ss22__h1ta_c-mk2b__e-mend2a__x-mexo3_s42__m02_p2lk_2900_trpatch8_ss22__2900,runs/analysis/hyp_v2_h1_train_aware_p2_finalcheck_20260307/train_runs/20260307_013745_p2lk_2900_trpatch8_ss22__h1ta_c-mk2b__e-mend2a__x-mexo3_s42__m02_p2lk_2900_trpatch8_ss22__2900,36
mk2b,mend2a,mexo3,42,2900,m03_p2lk_2900_trpatch8_ss33,configs/experiment/p2_locked_holdout/p2lk_2900_trpatch8_ss33.yaml,runs/analysis/hyp_v2_h1_train_aware_p2_finalcheck_20260307/tmp_configs/p2lk_2900_trpatch8_ss33__h1ta_c-mk2b__e-mend2a__x-mexo3_s42__m03_p2lk_2900_trpatch8_ss33__2900.yaml,20260307_013846_p2lk_2900_trpatch8_ss33__h1ta_c-mk2b__e-mend2a__x-mexo3_s42__m03_p2lk_2900_trpatch8_ss33__2900,runs/analysis/hyp_v2_h1_train_aware_p2_finalcheck_20260307/train_runs/20260307_013846_p2lk_2900_trpatch8_ss33__h1ta_c-mk2b__e-mend2a__x-mexo3_s42__m03_p2lk_2900_trpatch8_ss33__2900,36
mk2b,mend2a,mexo3,42,2900,m04_p2lk_2900_trpatch8_ss42,configs/experiment/p2_locked_holdout/p2lk_2900_trpatch8_ss42.yaml,runs/analysis/hyp_v2_h1_train_aware_p2_finalcheck_20260307/tmp_configs/p2lk_2900_trpatch8_ss42__h1ta_c-mk2b__e-mend2a__x-mexo3_s42__m04_p2lk_2900_trpatch8_ss42__2900.yaml,20260307_013952_p2lk_2900_trpatch8_ss42__h1ta_c-mk2b__e-mend2a__x-mexo3_s42__m04_p2lk_2900_trpatch8_ss42__2900,runs/analysis/hyp_v2_h1_train_aware_p2_finalcheck_20260307/train_runs/20260307_013952_p2lk_2900_trpatch8_ss42__h1ta_c-mk2b__e-mend2a__x-mexo3_s42__m04_p2lk_2900_trpatch8_ss42__2900,36
mk2b,mend2b,mexo2a,42,1500,m01_p2lk_1500_ramannet_ss11,configs/experiment/p2_locked_holdout/p2lk_1500_ramannet_ss11.yaml,runs/analysis/hyp_v2_h1_train_aware_p2_finalcheck_20260307/tmp_configs/p2lk_1500_ramannet_ss11__h1ta_c-mk2b__e-mend2b__x-mexo2a_s42__m01_p2lk_1500_ramannet_ss11__1500.yaml,20260307_014017_p2lk_1500_ramannet_ss11__h1ta_c-mk2b__e-mend2b__x-mexo2a_s42__m01_p2lk_1500_ramannet_ss11__1500,runs/analysis/hyp_v2_h1_train_aware_p2_finalcheck_20260307/train_runs/20260307_014017_p2lk_1500_ramannet_ss11__h1ta_c-mk2b__e-mend2b__x-mexo2a_s42__m01_p2lk_1500_ramannet_ss11__1500,36
mk2b,mend2b,mexo2a,42,1500,m02_p2lk_1500_ramannet_ss22,configs/experiment/p2_locked_holdout/p2lk_1500_ramannet_ss22.yaml,runs/analysis/hyp_v2_h1_train_aware_p2_finalcheck_20260307/tmp_configs/p2lk_1500_ramannet_ss22__h1ta_c-mk2b__e-mend2b__x-mexo2a_s42__m02_p2lk_1500_ramannet_ss22__1500.yaml,20260307_014037_p2lk_1500_ramannet_ss22__h1ta_c-mk2b__e-mend2b__x-mexo2a_s42__m02_p2lk_1500_ramannet_ss22__1500,runs/analysis/hyp_v2_h1_train_aware_p2_finalcheck_20260307/train_runs/20260307_014037_p2lk_1500_ramannet_ss22__h1ta_c-mk2b__e-mend2b__x-mexo2a_s42__m02_p2lk_1500_ramannet_ss22__1500,36
mk2b,mend2b,mexo2a,42,1500,m03_p2lk_1500_ramannet_ss33,configs/experiment/p2_locked_holdout/p2lk_1500_ramannet_ss33.yaml,runs/analysis/hyp_v2_h1_train_aware_p2_finalcheck_20260307/tmp_configs/p2lk_1500_ramannet_ss33__h1ta_c-mk2b__e-mend2b__x-mexo2a_s42__m03_p2lk_1500_ramannet_ss33__1500.yaml,20260307_014058_p2lk_1500_ramannet_ss33__h1ta_c-mk2b__e-mend2b__x-mexo2a_s42__m03_p2lk_1500_ramannet_ss33__1500,runs/analysis/hyp_v2_h1_train_aware_p2_finalcheck_20260307/train_runs/20260307_014058_p2lk_1500_ramannet_ss33__h1ta_c-mk2b__e-mend2b__x-mexo2a_s42__m03_p2lk_1500_ramannet_ss33__1500,36
mk2b,mend2b,mexo2a,42,1500,m04_p2lk_1500_ramannet_ss42,configs/experiment/p2_locked_holdout/p2lk_1500_ramannet_ss42.yaml,runs/analysis/hyp_v2_h1_train_aware_p2_finalcheck_20260307/tmp_configs/p2lk_1500_ramannet_ss42__h1ta_c-mk2b__e-mend2b__x-mexo2a_s42__m04_p2lk_1500_ramannet_ss42__1500.yaml,20260307_014120_p2lk_1500_ramannet_ss42__h1ta_c-mk2b__e-mend2b__x-mexo2a_s42__m04_p2lk_1500_ramannet_ss42__1500,runs/analysis/hyp_v2_h1_train_aware_p2_finalcheck_20260307/train_runs/20260307_014120_p2lk_1500_ramannet_ss42__h1ta_c-mk2b__e-mend2b__x-mexo2a_s42__m04_p2lk_1500_ramannet_ss42__1500,36
mk2b,mend2b,mexo2a,42,2900,m01_p2lk_2900_trpatch8_ss11,configs/experiment/p2_locked_holdout/p2lk_2900_trpatch8_ss11.yaml,runs/analysis/hyp_v2_h1_train_aware_p2_finalcheck_20260307/tmp_configs/p2lk_2900_trpatch8_ss11__h1ta_c-mk2b__e-mend2b__x-mexo2a_s42__m01_p2lk_2900_trpatch8_ss11__2900.yaml,20260307_014209_p2lk_2900_trpatch8_ss11__h1ta_c-mk2b__e-mend2b__x-mexo2a_s42__m01_p2lk_2900_trpatch8_ss11__2900,runs/analysis/hyp_v2_h1_train_aware_p2_finalcheck_20260307/train_runs/20260307_014209_p2lk_2900_trpatch8_ss11__h1ta_c-mk2b__e-mend2b__x-mexo2a_s42__m01_p2lk_2900_trpatch8_ss11__2900,36
mk2b,mend2b,mexo2a,42,2900,m02_p2lk_2900_trpatch8_ss22,configs/experiment/p2_locked_holdout/p2lk_2900_trpatch8_ss22.yaml,runs/analysis/hyp_v2_h1_train_aware_p2_finalcheck_20260307/tmp_configs/p2lk_2900_trpatch8_ss22__h1ta_c-mk2b__e-mend2b__x-mexo2a_s42__m02_p2lk_2900_trpatch8_ss22__2900.yaml,20260307_014256_p2lk_2900_trpatch8_ss22__h1ta_c-mk2b__e-mend2b__x-mexo2a_s42__m02_p2lk_2900_trpatch8_ss22__2900,runs/analysis/hyp_v2_h1_train_aware_p2_finalcheck_20260307/train_runs/20260307_014256_p2lk_2900_trpatch8_ss22__h1ta_c-mk2b__e-mend2b__x-mexo2a_s42__m02_p2lk_2900_trpatch8_ss22__2900,36
mk2b,mend2b,mexo2a,42,2900,m03_p2lk_2900_trpatch8_ss33,configs/experiment/p2_locked_holdout/p2lk_2900_trpatch8_ss33.yaml,runs/analysis/hyp_v2_h1_train_aware_p2_finalcheck_20260307/tmp_configs/p2lk_2900_trpatch8_ss33__h1ta_c-mk2b__e-mend2b__x-mexo2a_s42__m03_p2lk_2900_trpatch8_ss33__2900.yaml,20260307_014404_p2lk_2900_trpatch8_ss33__h1ta_c-mk2b__e-mend2b__x-mexo2a_s42__m03_p2lk_2900_trpatch8_ss33__2900,runs/analysis/hyp_v2_h1_train_aware_p2_finalcheck_20260307/train_runs/20260307_014404_p2lk_2900_trpatch8_ss33__h1ta_c-mk2b__e-mend2b__x-mexo2a_s42__m03_p2lk_2900_trpatch8_ss33__2900,36
mk2b,mend2b,mexo2a,42,2900,m04_p2lk_2900_trpatch8_ss42,configs/experiment/p2_locked_holdout/p2lk_2900_trpatch8_ss42.yaml,runs/analysis/hyp_v2_h1_train_aware_p2_finalcheck_20260307/tmp_configs/p2lk_2900_trpatch8_ss42__h1ta_c-mk2b__e-mend2b__x-mexo2a_s42__m04_p2lk_2900_trpatch8_ss42__2900.yaml,20260307_014456_p2lk_2900_trpatch8_ss42__h1ta_c-mk2b__e-mend2b__x-mexo2a_s42__m04_p2lk_2900_trpatch8_ss42__2900,runs/analysis/hyp_v2_h1_train_aware_p2_finalcheck_20260307/train_runs/20260307_014456_p2lk_2900_trpatch8_ss42__h1ta_c-mk2b__e-mend2b__x-mexo2a_s42__m04_p2lk_2900_trpatch8_ss42__2900,36
mk3,mend1,mexo2b,42,1500,m01_p2lk_1500_ramannet_ss11,configs/experiment/p2_locked_holdout/p2lk_1500_ramannet_ss11.yaml,runs/analysis/hyp_v2_h1_train_aware_p2_finalcheck_20260307/tmp_configs/p2lk_1500_ramannet_ss11__h1ta_c-mk3__e-mend1__x-mexo2b_s42__m01_p2lk_1500_ramannet_ss11__1500.yaml,20260307_014518_p2lk_1500_ramannet_ss11__h1ta_c-mk3__e-mend1__x-mexo2b_s42__m01_p2lk_1500_ramannet_ss11__1500,runs/analysis/hyp_v2_h1_train_aware_p2_finalcheck_20260307/train_runs/20260307_014518_p2lk_1500_ramannet_ss11__h1ta_c-mk3__e-mend1__x-mexo2b_s42__m01_p2lk_1500_ramannet_ss11__1500,28
mk3,mend1,mexo2b,42,1500,m02_p2lk_1500_ramannet_ss22,configs/experiment/p2_locked_holdout/p2lk_1500_ramannet_ss22.yaml,runs/analysis/hyp_v2_h1_train_aware_p2_finalcheck_20260307/tmp_configs/p2lk_1500_ramannet_ss22__h1ta_c-mk3__e-mend1__x-mexo2b_s42__m02_p2lk_1500_ramannet_ss22__1500.yaml,20260307_014541_p2lk_1500_ramannet_ss22__h1ta_c-mk3__e-mend1__x-mexo2b_s42__m02_p2lk_1500_ramannet_ss22__1500,runs/analysis/hyp_v2_h1_train_aware_p2_finalcheck_20260307/train_runs/20260307_014541_p2lk_1500_ramannet_ss22__h1ta_c-mk3__e-mend1__x-mexo2b_s42__m02_p2lk_1500_ramannet_ss22__1500,28
mk3,mend1,mexo2b,42,1500,m03_p2lk_1500_ramannet_ss33,configs/experiment/p2_locked_holdout/p2lk_1500_ramannet_ss33.yaml,runs/analysis/hyp_v2_h1_train_aware_p2_finalcheck_20260307/tmp_configs/p2lk_1500_ramannet_ss33__h1ta_c-mk3__e-mend1__x-mexo2b_s42__m03_p2lk_1500_ramannet_ss33__1500.yaml,20260307_014605_p2lk_1500_ramannet_ss33__h1ta_c-mk3__e-mend1__x-mexo2b_s42__m03_p2lk_1500_ramannet_ss33__1500,runs/analysis/hyp_v2_h1_train_aware_p2_finalcheck_20260307/train_runs/20260307_014605_p2lk_1500_ramannet_ss33__h1ta_c-mk3__e-mend1__x-mexo2b_s42__m03_p2lk_1500_ramannet_ss33__1500,28
